State|Region|Banner|Description|Link
SA|Flinders Ranges and Outback|||
SA|Fleurieu Peninsula|||
SA|Eyre Peninsula|||
SA|Clare Valley|||
SA|Barossa|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643705/wwia/region%20banners/barossa_valley_x0vejh.jpg||
SA|Adelaide Hills|||
SA|Adelaide|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643707/wwia/region%20banners/adelaide_uzreqi.jpg||
NT|MacDonnell|||
NT|Lasseter|||
NT|Katherine Daly|||
NT|Kakadu Arnkem|||
NT|Darwin|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643706/wwia/region%20banners/darwin_dirruw.jpg||
NT|Barkly|||
NT|Alice Springs|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643721/wwia/region%20banners/alice_springs_vv8hsx.jpg||
QLD|Whitsundays|||
QLD|Tropical North Queensland|||
QLD|Sunshine Coast|||
QLD|Outback|||
QLD|Northern|||
QLD|Mackay|||
QLD|Gold Coast|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643712/wwia/region%20banners/gold_coast_pftzh1.jpg||
QLD|Fraser Coast|||
QLD|Darling Downds|||
QLD|Central Queensland|||
QLD|Bundaberg|||
QLD|Brisbane|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643717/wwia/region%20banners/brisbane_wemqit.jpg||
WA|Experience Perth|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643757/wwia/region%20banners/perth_surrounds_kxywzw.jpg||
WA|Australia’s South West|https://res.cloudinary.com/dkowfxwpp/image/upload/v1580643734/wwia/region%20banners/margaret_river_southwest_ljcref.jpg||
WA|Australia's North West|||
WA|Australia’s Golden Outback|||
WA|Australia’s Coral Coast|||
